Ma,province,Confirmed Case
1,Hà Nội,1642679
79,Hồ Chí Minh,628388
31,Hải Phòng,537053
40,Nghệ An,501445
24,Bắc Giang,391384
26,Vĩnh Phúc,375418
30,Hải Dương,372146
22,Quảng Ninh,356116
27,Bắc Ninh,353691
19,Thái Nguyên,346972
25,Phú Thọ,330992
74,Bình Dương,325199
36,Nam Định,300981
34,Thái Bình,296720
33,Hưng Yên,243943
17,Hoà Bình,239853
10,Lào Cai,188491
38,Thanh Hóa,177612
66,Đắk Lắk,172439
20,Lạng Sơn,160752
15,Yên Bái,157429
14,Sơn La,153357
96,Cà Mau,147574
8,Tuyên Quang,147291
72,Tây Ninh,140248
52,Bình Định,139474
44,Quảng Bình,129258
2,Hà Giang,122610
56,Khánh Hòa,121589
70,Bình Phước,119895
77,Bà Rịa - Vũng Tàu,110570
48,Đà Nẵng,108420
75,Đồng Nai,107518
37,Ninh Bình,104636
86,Vĩnh Long,103302
83,Bến Tre,99392
4,Cao Bằng,98730
68,Lâm Đồng,97595
35,Hà Nam,91170
11,Điện Biên,90478
45,Quảng Trị,85975
92,Cần Thơ,76852
6,Bắc Kạn,76813
12,Lai Châu,75348
84,Trà Vinh,75129
67,Đắk Nông,73427
64,Gia Lai,70934
42,Hà Tĩnh,54879
60,Bình Thuận,54012
87,Đồng Tháp,51474
51,Quảng Ngãi,50379
80,Long An,50161
49,Quảng Nam,49465
46,Thừa Thiên Huế,48061
95,Bạc Liêu,46876
54,Phú Yên,44149
89,An Giang,43163
91,Kiên Giang,43105
82,Tiền Giang,39441
94,Sóc Trăng,34448
62,Kon Tum,26319
93,Hậu Giang,17804
58,Ninh Thuận,8883
